ID,Sales_Person,Customer_Name,Car_Make,Car_Model,Car_Year,Sale_Price,Commission_Rate,Commission_Earned,Year,Month,Month_ID,Day,Day_ID,Day_Index,,,
3118,Kelly Perez,Courtney Morgan,Nissan,Silverado,2020,44754,0.132818752,5944.17,2022,May,5,Thursday,4,12,,,
3119,Jessica Ellison,Andrew Morales,Ford,F-150,2016,38600,0.080218565,3096.44,2022,November,11,Saturday,6,26,,,
3120,Carol Dunn,Craig Duran,Honda,Civic,2011,49251,0.058261536,2869.44,2022,June,6,Wednesday,3,8,,,
3121,Tracy Carter,Mark Hanson,Toyota,Silverado,2018,27623,0.086501743,2389.44,2023,February,2,Friday,5,3,,,
3122,Gabriel Lewis,Heather Morgan,Nissan,F-150,2021,18352,0.142755378,2619.85,2023,March,3,Sunday,7,19,,,
3123,Caitlin Joseph,Melissa Sanders,Toyota,Silverado,2013,36263,0.13138224,4764.31,2022,July,7,Friday,5,8,,,
3124,Caroline Franklin,Christian Baldwin,Ford,Silverado,2016,26537,0.054922404,1457.48,2022,October,10,Monday,1,3,,,
3125,Matthew Kelly,Grace Johnson,Ford,F-150,2010,12390,0.129156778,1600.25,2022,August,8,Friday,5,19,,,
3126,Karen Sanchez,Nicole Rogers,Honda,F-150,2010,34423,0.128085331,4409.08,2022,October,10,Wednesday,3,12,,,
3127,Emily Whitehead,Jonathon Torres,Honda,Altima,2013,11369,0.137434072,1562.49,2023,March,3,Friday,5,10,,,
3128,Katherine Leach,Susan Morales,Honda,Silverado,2021,35010,0.072954106,2554.12,2022,October,10,Tuesday,2,4,,,
3129,Brian Snyder,Patrick Cunningham,Toyota,Corolla,2011,22569,0.098615523,2225.65,2022,September,9,Monday,1,26,,,
3130,Jimmy Nicholson,Louis Crosby,Ford,F-150,2020,13457,0.12463051,1677.15,2022,December,12,Friday,5,16,,,
3131,Crystal Hughes,Dr. Donald Reyes,Ford,F-150,2021,30602,0.093196216,2851.99,2022,December,12,Friday,5,16,,,
3132,Brian Kelly,Dana Martin,Toyota,Altima,2015,29964,0.093678767,2806.99,2022,October,10,Monday,1,17,,,
3133,Vanessa Clark,Olivia Hall,Nissan,F-150,2017,47252,0.109838787,5190.1,2023,April,4,Thursday,4,13,,,
3134,Daniel Daniels,Brian Jones,Nissan,F-150,2020,11923,0.092372613,1101.36,2022,November,11,Saturday,6,19,,,
3135,Jesse Ibarra,Susan Obrien,Nissan,F-150,2016,36911,0.089955948,3320.36,2022,September,9,Sunday,7,11,,,
3136,Richard Webster,Christopher Townsend,Chevrolet,F-150,2017,17918,0.145553221,2608.02,2022,June,6,Thursday,4,23,,,
3137,Martin Riley,Mary Cuevas,Nissan,Corolla,2021,15851,0.13547835,2147.47,2022,September,9,Friday,5,23,,,
3138,Deanna Turner,David Daugherty,Chevrolet,Corolla,2015,27378,0.079656816,2180.84,2023,January,1,Wednesday,3,18,,,
3139,Lauren Peck,Matthew Ross,Honda,Silverado,2021,47563,0.117832977,5604.49,2022,September,9,Sunday,7,4,,,
3140,Jamie Hahn,Melissa Kim,Honda,Silverado,2013,38837,0.057080821,2216.85,2022,July,7,Thursday,4,21,,,
3141,Kevin Jones,Mark Spencer,Toyota,F-150,2013,28519,0.081820052,2333.43,2022,July,7,Tuesday,2,5,,,
3142,Colleen Thomas,Judy Lee,Toyota,Silverado,2018,45919,0.136905728,6286.57,2022,October,10,Friday,5,14,,,
3143,Mrs. Shirley Jones PhD,Kristi Ramos,Ford,Civic,2011,20908,0.104526044,2185.43,2022,October,10,Monday,1,17,,,
3144,Lori Schneider,Gwendolyn Delacruz,Toyota,Civic,2022,30747,0.085008895,2613.77,2022,September,9,Tuesday,2,20,,,
3145,Melissa Joseph,Melanie Daugherty,Ford,Corolla,2014,16275,0.072217473,1175.34,2022,November,11,Saturday,6,12,,,
3146,Hannah Nguyen,Nicole Ramsey,Honda,Silverado,2013,44439,0.112212019,4986.59,2023,February,2,Sunday,7,12,,,
3147,Christian Powell,Thomas Savage,Chevrolet,Altima,2010,25706,0.076532103,1967.33,2022,June,6,Saturday,6,25,,,
3148,Rhonda Schultz,Haley Acosta,Toyota,F-150,2010,41358,0.06783779,2805.64,2022,August,8,Saturday,6,20,,,
3149,Alexandria Evans,Samuel Garrett DVM,Nissan,Corolla,2010,35673,0.144154517,5142.42,2022,May,5,Sunday,7,1,,,
3150,Julia Nelson,Taylor Malone,Chevrolet,Corolla,2015,24623,0.06427692,1582.69,2022,August,8,Wednesday,3,17,,,
3151,Mary Fisher,Emily Brown,Ford,Silverado,2016,25040,0.087445062,2189.62,2022,May,5,Thursday,4,19,,,
3152,Brianna Sanchez,Anna Smith,Toyota,Silverado,2011,43181,0.07125239,3076.75,2022,July,7,Tuesday,2,26,,,
3153,Jermaine Alexander,Jacob Martin,Ford,Civic,2012,49189,0.083960798,4129.95,2023,April,4,Saturday,6,22,,,
3154,Diane Howard,Jasmine Nunez,Chevrolet,F-150,2018,18033,0.061932498,1116.83,2022,June,6,Saturday,6,25,,,
3155,John Griffith,Ana Jones,Chevrolet,Civic,2018,33143,0.074461987,2467.89,2023,April,4,Friday,5,21,,,
3156,Brian Garcia,Bradley Allen,Chevrolet,Silverado,2012,22464,0.079320568,1781.86,2022,October,10,Wednesday,3,12,,,
3157,Kyle Henderson,Richard Casey,Nissan,F-150,2011,19017,0.106113285,2017.96,2022,December,12,Monday,1,26,,,
3158,Henry Henry,Melissa Woods,Ford,F-150,2013,17710,0.123868726,2193.72,2023,March,3,Sunday,7,19,,,
3159,Cynthia Hayden,Samuel Le,Toyota,F-150,2022,41612,0.094115527,3916.34,2022,October,10,Thursday,4,6,,,
3160,Jason Tate,Robert Scott,Nissan,Civic,2010,23182,0.121750603,2822.42,2022,September,9,Thursday,4,8,,,
3161,Tamara Khan,Joshua Snyder,Honda,Silverado,2020,23476,0.094284714,2213.43,2023,April,4,Tuesday,2,18,,,
3162,Robert Ward,Walter Bennett,Toyota,Civic,2018,23628,0.125491408,2965.11,2023,April,4,Friday,5,28,,,
3163,Robert Jones,Nathaniel Harris,Chevrolet,Corolla,2022,12655,0.102988037,1303.31,2022,June,6,Saturday,6,18,,,
3164,Molly Hurley,Darren Lucas,Ford,Corolla,2012,19813,0.061170874,1211.98,2022,June,6,Monday,1,20,,,
3165,Kevin Beltran,Gabriella Krueger,Honda,Altima,2012,47501,0.104643879,4970.69,2023,February,2,Thursday,4,2,,,
3166,Shawn Cruz,Sarah Johnson,Toyota,F-150,2021,22400,0.145485622,3258.88,2023,January,1,Monday,1,16,,,
3167,Nicole Valdez,Kevin Rodriguez,Chevrolet,F-150,2022,40613,0.090320529,3668.19,2023,April,4,Wednesday,3,12,,,
3168,Andrew Gardner,Steven Haynes,Chevrolet,Corolla,2011,32543,0.054999763,1789.86,2022,September,9,Thursday,4,22,,,
3169,Paul Knight,Andrea Lucero,Nissan,Altima,2014,41649,0.146729267,6111.13,2022,June,6,Tuesday,2,7,,,
3170,Julie Carpenter,Kevin Marshall,Honda,F-150,2016,20032,0.059540339,1192.71,2023,April,4,Thursday,4,13,,,
3171,Matthew Adkins,Thomas Butler,Honda,Civic,2018,42117,0.123942049,5220.07,2022,October,10,Sunday,7,30,,,
3172,Mario Hartman,Yolanda Hardy,Chevrolet,Silverado,2021,18158,0.058835695,1068.34,2022,December,12,Thursday,4,22,,,
3173,John Jimenez,Kathy Garcia,Chevrolet,Corolla,2010,45472,0.113571203,5164.31,2023,April,4,Monday,1,3,,,
3174,Louis Jones,Kathy Glenn,Ford,Altima,2019,36504,0.108073302,3945.11,2022,July,7,Sunday,7,24,,,
3175,Jenna Gomez,Steven Jackson,Ford,Civic,2015,10684,0.141340114,1510.08,2022,December,12,Friday,5,2,,,
3176,Kathleen Ayala,Amy Rivers,Honda,Corolla,2015,31845,0.121449505,3867.56,2023,January,1,Sunday,7,8,,,
3177,Taylor Green,Michelle Brown,Ford,Civic,2016,44361,0.122128054,5417.72,2023,April,4,Monday,1,10,,,
3178,James Neal DDS,Gregory Meyer,Chevrolet,Silverado,2012,20051,0.14248232,2856.91,2023,January,1,Wednesday,3,25,,,
3179,Emily Morse,Sarah Mason,Ford,Altima,2018,31592,0.096319767,3042.93,2022,December,12,Wednesday,3,28,,,
3180,Colin Fuller,Jacob Terrell,Honda,F-150,2022,29908,0.055399606,1656.89,2022,October,10,Saturday,6,15,,,
3181,Julie Garcia,David Hudson,Toyota,F-150,2022,38898,0.136872235,5324.06,2022,December,12,Friday,5,9,,,
3182,Maria Walker,Nicole Warren,Nissan,Corolla,2012,40501,0.098344782,3983.06,2022,November,11,Monday,1,21,,,
3183,Sean West,Brandon Sullivan,Toyota,Civic,2010,13335,0.085045328,1134.08,2022,November,11,Monday,1,14,,,
3184,Robert Fernandez,Diane Farrell,Nissan,Civic,2017,31798,0.141978531,4514.63,2022,November,11,Wednesday,3,23,,,
3185,James Moyer,Allison Ward,Toyota,Corolla,2016,30334,0.074607066,2263.13,2022,September,9,Wednesday,3,14,,,
3186,William Mccarthy,Javier Austin,Honda,Silverado,2010,21098,0.065439272,1380.64,2023,April,4,Thursday,4,13,,,
3187,Charles Holland,Aaron Wells,Chevrolet,Civic,2020,37942,0.083739757,3177.25,2022,August,8,Wednesday,3,17,,,
3188,Brooke Johns,Sarah Taylor,Nissan,F-150,2010,11713,0.060942814,713.82,2023,March,3,Tuesday,2,28,,,
3189,Michael Gibbs,Anna Rodriguez,Honda,F-150,2011,41039,0.064863515,2661.93,2022,November,11,Monday,1,7,,,
3190,Timothy Blanchard,Tiffany Mathews,Toyota,Silverado,2012,43942,0.06458616,2838.05,2023,January,1,Tuesday,2,24,,,
3191,Kyle Morris,Lauren Hartman,Chevrolet,Corolla,2012,49258,0.111389614,5486.83,2022,June,6,Saturday,6,25,,,
3192,Chelsea Brandt PhD,Patricia Romero,Honda,Civic,2020,26384,0.077154272,2035.64,2022,July,7,Wednesday,3,13,,,
3193,Erik Carter,Gregory Davis,Honda,Silverado,2017,35362,0.100045757,3537.82,2023,April,4,Tuesday,2,25,,,
3194,Shelly Powers,Raymond Trujillo,Toyota,Corolla,2017,46992,0.065874492,3095.57,2023,February,2,Saturday,6,25,,,
3195,Kevin Wolfe,Jason Yates,Chevrolet,Corolla,2010,35786,0.08954102,3204.31,2023,January,1,Saturday,6,28,,,
3196,Mark Garcia,Manuel Bishop,Ford,Corolla,2021,44202,0.073144362,3233.13,2022,November,11,Thursday,4,10,,,
3197,Brian Drake,John Daniels,Honda,Altima,2016,16843,0.102732134,1730.32,2023,February,2,Monday,1,6,,,
3198,Sara Gilmore,Juan Kirby,Toyota,F-150,2016,26420,0.116016189,3065.15,2023,April,4,Saturday,6,29,,,
3199,Heather Jones,Christopher Smith,Chevrolet,F-150,2019,30655,0.126159592,3867.42,2023,April,4,Saturday,6,8,,,
3200,Brian Cox,Jessica Gilmore,Ford,Corolla,2022,22488,0.066179299,1488.24,2022,May,5,Wednesday,3,11,,,
3201,Joshua Martinez,Daniel Williams,Chevrolet,Corolla,2011,27182,0.073469008,1997.03,2022,October,10,Monday,1,17,,,
3202,Mrs. Kathy Thompson,Kara Reynolds,Ford,Corolla,2018,10248,0.141110259,1446.1,2022,August,8,Wednesday,3,24,,,
3203,Andrea Hart MD,Raymond West,Honda,Corolla,2015,24124,0.109814451,2649.16,2022,November,11,Tuesday,2,29,,,
3204,Carrie Baldwin,Benjamin Andrade,Nissan,Civic,2010,35873,0.064996132,2331.61,2022,November,11,Monday,1,28,,,
3205,Alyssa Young,Jamie Romero,Chevrolet,Corolla,2018,30550,0.116622693,3562.82,2022,August,8,Friday,5,26,,,
3206,Jo Taylor,Holly Hardy,Ford,F-150,2012,19446,0.128681649,2502.34,2022,September,9,Sunday,7,25,,,
3207,Cassie Burns,Logan Diaz,Honda,Altima,2012,19818,0.096208364,1906.66,2022,May,5,Tuesday,2,31,,,
3208,Amy May,Robert Lozano,Nissan,Civic,2012,18033,0.128038393,2308.92,2022,July,7,Tuesday,2,19,,,
3209,Angelica Hughes,Jacob Stokes,Honda,F-150,2013,48419,0.127018014,6150.09,2022,September,9,Wednesday,3,7,,,
3210,Kimberly Hill,Emily Collins,Toyota,Civic,2014,22925,0.105793006,2425.3,2023,January,1,Thursday,4,5,,,
3211,Janice Curtis,Henry Ayala,Chevrolet,Corolla,2021,28651,0.092142266,2639.97,2023,April,4,Wednesday,3,19,,,
3212,Michael King,Scott Johnson,Ford,F-150,2017,23365,0.079788606,1864.26,2022,July,7,Friday,5,15,,,
3213,Brian Cross,Darrell Clark,Nissan,Silverado,2017,49937,0.051598252,2576.66,2022,September,9,Friday,5,30,,,
3214,David Miller,Luis Wilson,Ford,Corolla,2014,28952,0.091103731,2637.64,2023,February,2,Thursday,4,16,,,
3215,Matthew Evans,Sandra Lopez,Ford,Civic,2014,29620,0.137083652,4060.42,2023,April,4,Thursday,4,20,,,
3216,Natalie Bailey,Glenda Smith,Nissan,Civic,2014,40498,0.073572565,2979.54,2023,February,2,Monday,1,6,,,
3217,Dominique Sanders,Vincent Chambers,Chevrolet,Civic,2019,24045,0.134462142,3233.14,2022,August,8,Wednesday,3,10,,,
3218,Yesenia Butler,Kyle Reid,Ford,F-150,2018,14612,0.071076464,1038.57,2022,September,9,Friday,5,16,,,
3219,Dr. Richard King,Mr. Micheal Phillips,Chevrolet,Silverado,2014,47074,0.139907054,6585.98,2022,September,9,Friday,5,2,,,
3220,Christopher Price,Dawn Nelson,Chevrolet,Corolla,2010,12501,0.106179129,1327.35,2022,May,5,Wednesday,3,11,,,
3221,Shirley Delgado,Charles Ward,Ford,Civic,2010,13587,0.145129901,1971.88,2022,June,6,Tuesday,2,28,,,
3222,Mary Trujillo,Tricia Andrews,Toyota,Civic,2021,28944,0.125494454,3632.31,2022,October,10,Saturday,6,8,,,
3223,Joseph Hendrix,Nina Martinez,Honda,F-150,2016,15724,0.105762424,1663.01,2023,March,3,Monday,1,6,,,
3224,William Phillips,Thomas Kim,Toyota,F-150,2010,25340,0.060792649,1540.49,2023,April,4,Wednesday,3,5,,,
3225,Rose Anderson,Daniel Elliott,Honda,Civic,2021,45090,0.083878244,3782.07,2022,June,6,Thursday,4,23,,,
3226,Scott Carr,Amy Gonzalez,Nissan,Silverado,2021,46838,0.07854999,3679.12,2023,February,2,Tuesday,2,7,,,
3227,Tami Ramos,Rebecca Moore,Nissan,Corolla,2022,24790,0.130906344,3245.17,2022,May,5,Friday,5,20,,,
3228,Stephanie Padilla,Jessica Montgomery,Ford,F-150,2020,47235,0.079488116,3754.62,2023,January,1,Wednesday,3,4,,,
3229,Michael Williams,Steven Lin,Toyota,Corolla,2017,21512,0.085839936,1846.59,2022,November,11,Monday,1,14,,,
3230,Bradley Perry,Mary Stanton,Nissan,Civic,2012,10955,0.149679999,1639.74,2022,June,6,Tuesday,2,14,,,
3231,Bonnie Anderson,Tiffany Bailey,Toyota,Silverado,2014,42187,0.057615844,2430.64,2022,May,5,Saturday,6,28,,,
3232,Michael Anderson,Matthew Hawkins,Chevrolet,Altima,2013,37185,0.097552165,3627.48,2022,August,8,Tuesday,2,16,,,
3233,Kathleen Olson,Holly Wilson,Toyota,Civic,2013,37814,0.087154634,3295.67,2023,April,4,Wednesday,3,19,,,
3234,Shirley Nelson,Leah Henson,Ford,F-150,2022,28461,0.060807303,1730.64,2022,June,6,Thursday,4,30,,,
3235,Ernest Ayala,Ashley Wilson,Nissan,Civic,2014,12033,0.084998798,1022.79,2023,February,2,Sunday,7,26,,,
3236,Lori Fox,David Carter,Honda,F-150,2015,35409,0.097601766,3455.98,2022,September,9,Sunday,7,18,,,
3237,Julie Vargas,Jason Lee,Honda,Silverado,2017,27168,0.145538767,3954,2022,May,5,Tuesday,2,3,,,
3238,Melvin Martin,Carrie Boyd,Chevrolet,F-150,2013,49855,0.144553721,7206.73,2022,December,12,Sunday,7,4,,,
3239,Krystal Nguyen,Anna Pineda,Chevrolet,Altima,2014,21546,0.081331458,1752.37,2022,June,6,Tuesday,2,7,,,
3240,Dawn Neal,Joanna Moore,Nissan,Corolla,2015,41958,0.110398656,4632.11,2022,October,10,Sunday,7,30,,,
3241,Latoya Yang,Matthew Perry,Ford,Silverado,2010,18457,0.146425264,2702.57,2022,December,12,Tuesday,2,6,,,
3242,Megan Gordon,Tara Smith,Ford,Corolla,2012,14241,0.095033308,1353.37,2022,November,11,Wednesday,3,23,,,
3243,Andrew Smith,Samuel Jackson,Nissan,F-150,2015,14691,0.121460489,1784.38,2023,January,1,Thursday,4,26,,,
3244,Isabel Anderson,Matthew Orr,Nissan,Altima,2014,29344,0.058445411,1715.02,2022,November,11,Friday,5,4,,,
3245,Elizabeth Rivera,Ian Espinoza,Toyota,Altima,2016,27756,0.068488962,1900.98,2022,November,11,Tuesday,2,8,,,
3246,Daniel Perry,Darius Murray,Ford,Civic,2021,40056,0.091223551,3654.05,2022,October,10,Friday,5,7,,,
3247,Brandon Flowers,Andrew Saunders,Toyota,F-150,2015,13474,0.138298252,1863.43,2023,January,1,Thursday,4,26,,,
3248,Christina Clark,Laurie Williams,Chevrolet,Silverado,2020,40208,0.072276295,2906.09,2022,December,12,Wednesday,3,28,,,
3249,Brenda Garrett,Emily Weber,Ford,Altima,2015,23981,0.083788667,2009.34,2022,October,10,Sunday,7,30,,,
3250,Rebecca Leach,Dean Tucker,Chevrolet,Altima,2019,11310,0.12400055,1402.45,2022,June,6,Wednesday,3,22,,,
3251,William Kennedy,Martha Martinez,Honda,Civic,2020,19053,0.090248505,1719.5,2023,February,2,Tuesday,2,14,,,
3252,Tracey Gonzales,Blake Cortez,Honda,Civic,2011,46358,0.053385497,2474.84,2023,January,1,Thursday,4,26,,,
3253,Amy Arnold,Kevin Morris,Ford,F-150,2012,33283,0.083879628,2791.77,2022,October,10,Wednesday,3,19,,,
3254,Michael Rhodes,Mary Jackson,Ford,Altima,2022,45109,0.090922627,4101.43,2022,September,9,Wednesday,3,28,,,
3255,Regina Chang,Michael Kelley,Honda,Silverado,2013,48111,0.131756969,6338.96,2022,May,5,Tuesday,2,24,,,
3256,James Vega,Harold Hernandez DVM,Honda,Corolla,2021,36865,0.057082798,2104.36,2022,May,5,Tuesday,2,24,,,
3257,Victoria Jones,Steven Rivas,Toyota,Silverado,2022,11794,0.063481875,748.71,2022,June,6,Thursday,4,23,,,
3258,Sarah Stevenson,Charles Marshall,Honda,Silverado,2016,16721,0.095522587,1597.23,2022,June,6,Saturday,6,11,,,
3259,Beth Jackson,Christopher Taylor,Honda,Silverado,2013,40804,0.06086312,2483.46,2022,September,9,Tuesday,2,13,,,
3260,Mr. Nicholas Reynolds,Tanner Collier,Chevrolet,Civic,2018,41520,0.068166132,2830.26,2022,May,5,Friday,5,6,,,
3261,Mark Garza,Robin Washington,Toyota,Corolla,2017,14299,0.111549544,1595.05,2023,May,5,Monday,1,1,,,
3262,Tammy Burnett,Nicholas Tanner,Nissan,Silverado,2021,29532,0.086211863,2546.01,2022,July,7,Sunday,7,10,,,
3263,Carla Dean,Elizabeth Lang,Ford,Civic,2011,35433,0.110630773,3919.98,2022,May,5,Tuesday,2,3,,,
3264,Jessica Cunningham,Karen Cannon,Chevrolet,Altima,2016,15217,0.127409003,1938.78,2023,January,1,Thursday,4,19,,,
3265,Susan Navarro,Jeremy Hardin,Honda,Civic,2013,30092,0.146134003,4397.46,2023,March,3,Wednesday,3,8,,,
3266,John Day,David Guzman,Ford,F-150,2013,42696,0.143678699,6134.51,2022,September,9,Tuesday,2,13,,,
3267,Kevin Rios,Lisa West DDS,Honda,Civic,2022,20173,0.061487503,1240.39,2023,January,1,Thursday,4,19,,,
3268,Jacqueline Baker,David Anderson,Nissan,F-150,2019,44065,0.116633355,5139.45,2022,November,11,Tuesday,2,15,,,
3269,Chad Weaver,Diana Steele,Nissan,Corolla,2016,44357,0.148358496,6580.74,2022,September,9,Monday,1,5,,,
3270,Mr. Timothy Miller PhD,Jennifer Shaw,Nissan,Corolla,2011,42679,0.13466639,5747.43,2022,May,5,Saturday,6,14,,,
3271,Jodi Jordan,Megan Wright,Toyota,Silverado,2016,23524,0.136266167,3205.53,2022,October,10,Tuesday,2,11,,,
3272,Edward Montgomery,Mike Escobar,Ford,Corolla,2014,30443,0.089193258,2715.31,2022,August,8,Thursday,4,18,,,
3273,Brittany Hines,Megan Fischer,Chevrolet,Civic,2022,24478,0.10349307,2533.3,2022,October,10,Monday,1,10,,,
3274,Sherry Richards,Kelly Ramos,Nissan,F-150,2013,42877,0.114121004,4893.17,2022,October,10,Friday,5,28,,,
3275,Samuel Vargas,Mike Fisher,Nissan,Silverado,2020,27125,0.139882794,3794.32,2023,February,2,Thursday,4,23,,,
3276,Edward Boyer,Gilbert Serrano,Toyota,F-150,2015,12652,0.102114303,1291.95,2022,September,9,Saturday,6,3,,,
3277,Nathan Howard,Amanda Davis,Nissan,Civic,2010,20941,0.097948121,2051.13,2022,August,8,Saturday,6,27,,,
3278,Brittany Huang,Bailey Johnson,Nissan,Civic,2022,14476,0.132907953,1923.98,2022,December,12,Thursday,4,1,,,
3279,Larry Gonzales,Katelyn Hopkins,Chevrolet,Altima,2014,13459,0.105665174,1422.15,2023,January,1,Sunday,7,8,,,
3280,Mark Mitchell,Samuel Brown Jr.,Ford,Corolla,2016,35821,0.069486223,2489.07,2022,June,6,Friday,5,3,,,
3281,Peter Burke,Taylor Schmidt,Toyota,Altima,2017,10958,0.116424224,1275.78,2023,April,4,Sunday,7,2,,,
3282,Eric Chandler,Jeffery Morris,Toyota,Altima,2015,22128,0.084334241,1866.15,2022,August,8,Wednesday,3,3,,,
3283,Steven Valencia,Tracy Maldonado,Nissan,F-150,2016,25216,0.102159025,2576.04,2023,March,3,Wednesday,3,22,,,
3284,Joshua Collins,Steven Marshall,Toyota,F-150,2012,39349,0.11582227,4557.49,2022,May,5,Friday,5,13,,,
3285,Carmen Hill,Angela Gill,Nissan,Corolla,2020,49711,0.120393899,5984.9,2022,July,7,Friday,5,1,,,
3286,Jason Paul,Vanessa Johnson,Toyota,Silverado,2020,21340,0.144492937,3083.48,2023,January,1,Thursday,4,26,,,
3287,Gabrielle Hawkins,Nicole Bender,Honda,Altima,2011,11914,0.10303671,1227.58,2023,April,4,Sunday,7,2,,,
3288,Julie Green,Barry Moore,Honda,Civic,2011,38042,0.08937065,3399.84,2023,February,2,Wednesday,3,15,,,
3289,Seth Lee,Brittany Valentine,Honda,F-150,2017,33300,0.066890635,2227.46,2023,April,4,Sunday,7,2,,,
3290,Stephen Bryant,Mary Francis,Chevrolet,F-150,2021,37538,0.100964309,3790,2022,June,6,Thursday,4,23,,,
3291,David Sherman,Elizabeth Bates,Nissan,Altima,2016,21313,0.074653369,1591.09,2023,April,4,Thursday,4,13,,,
3292,Jennifer Perez,Dwayne Lopez,Chevrolet,Altima,2016,38326,0.10771554,4128.31,2022,July,7,Friday,5,22,,,
3293,Sherry Davis,David Acosta,Toyota,Silverado,2013,41335,0.098637432,4077.18,2022,August,8,Saturday,6,13,,,
3294,Jonathan Jones,Stephanie Brooks,Honda,Civic,2022,18767,0.064837219,1216.8,2022,November,11,Tuesday,2,22,,,
3295,Kimberly Rogers,Ralph Hill,Ford,Altima,2011,42060,0.130449399,5486.7,2022,July,7,Friday,5,15,,,
3296,Charles Baker,Dennis Shah,Nissan,Civic,2011,34583,0.118364809,4093.41,2022,July,7,Sunday,7,3,,,
3297,Daniel Lawson,Kristin Valdez,Ford,Civic,2020,39738,0.057185071,2272.42,2022,December,12,Thursday,4,22,,,
3298,Amanda Sutton,Juan Ellis,Honda,Silverado,2019,43863,0.106231174,4659.62,2022,October,10,Sunday,7,16,,,
3299,Joseph Adkins,Heather Palmer,Toyota,F-150,2016,46711,0.059063682,2758.92,2022,November,11,Wednesday,3,2,,,
3300,Tony Burnett,Carol Johnson,Ford,Altima,2011,48324,0.054663,2641.53,2022,December,12,Friday,5,9,,,
3301,Brooke Gross,Lori Oliver,Ford,Civic,2017,17207,0.073414556,1263.24,2022,May,5,Wednesday,3,25,,,
3302,Nina Green,Michael Obrien,Chevrolet,Civic,2019,37308,0.092098626,3436.02,2023,February,2,Friday,5,3,,,
3303,Sarah Haynes,Jeanne Watkins,Honda,Altima,2018,44166,0.144597625,6386.3,2023,March,3,Tuesday,2,7,,,
3304,Destiny Ruiz,Cindy Perry,Ford,F-150,2018,41559,0.067508904,2805.6,2022,May,5,Wednesday,3,25,,,
3305,Crystal Gray,James Werner,Toyota,Altima,2011,12165,0.054993103,668.99,2022,September,9,Monday,1,5,,,
3306,Norman Sanders,Robert Hoffman,Honda,Corolla,2018,17617,0.127822445,2251.85,2022,October,10,Thursday,4,6,,,
3307,Christopher Edwards,Roberto Gutierrez,Honda,Altima,2014,37579,0.05535891,2080.33,2022,September,9,Tuesday,2,20,,,
3308,Robert Reed,Ana Nguyen,Toyota,Corolla,2020,12628,0.059018114,745.28,2022,July,7,Monday,1,4,,,
3309,Eric Moore,Julie Cunningham,Chevrolet,F-150,2012,30562,0.134242553,4102.72,2022,December,12,Saturday,6,3,,,
3310,Shane Barnett,Richard Gutierrez,Honda,Silverado,2018,42724,0.074036303,3163.13,2022,August,8,Tuesday,2,23,,,
3311,Jeanette Berger,Michael Hooper,Honda,Altima,2021,38862,0.120838774,4696.04,2022,June,6,Wednesday,3,22,,,
3312,Sheila Cooper,Kelly Morrison,Honda,Civic,2012,20894,0.116429749,2432.68,2022,October,10,Friday,5,21,,,
3313,Kimberly Choi,Debbie Freeman,Chevrolet,Civic,2010,38583,0.12621042,4869.58,2022,November,11,Thursday,4,3,,,
3314,Anita Joseph,Lori Swanson,Nissan,Altima,2013,28040,0.11305914,3170.18,2023,March,3,Monday,1,27,,,
3315,Albert Hopkins,Dustin Thompson,Nissan,Silverado,2019,33159,0.111809,3707.47,2022,May,5,Monday,1,9,,,
3316,Donna Freeman,Darrell Gibson,Honda,Altima,2020,28553,0.121184026,3460.17,2022,September,9,Thursday,4,1,,,
3317,Debbie Juarez,Samuel Jacobs,Honda,Civic,2015,29523,0.090430622,2669.78,2023,March,3,Saturday,6,4,,,
3318,Paul Smith,Frank Lawson,Nissan,Altima,2015,24516,0.056704942,1390.18,2022,November,11,Sunday,7,27,,,
3319,John Brown DVM,Amanda Hawkins,Chevrolet,Silverado,2020,40086,0.070751912,2836.16,2022,May,5,Tuesday,2,3,,,
3320,James Greene,Eric Curtis,Nissan,Altima,2015,13343,0.130241081,1737.81,2022,May,5,Sunday,7,29,,,
3321,Elizabeth Hays,Troy Taylor,Chevrolet,Silverado,2014,12259,0.118699313,1455.13,2022,July,7,Friday,5,8,,,
3322,Courtney Williams,David Randall,Toyota,Altima,2022,14756,0.101676346,1500.34,2023,January,1,Sunday,7,1,,,
3323,Sharon Watkins,Marilyn Gonzalez,Toyota,F-150,2016,33404,0.118646563,3963.27,2022,December,12,Saturday,6,24,,,
3324,Kathryn Munoz,Nicole Schneider,Ford,Altima,2014,46136,0.14103771,6506.92,2023,January,1,Sunday,7,22,,,
3325,Austin Jackson,Sherry Rivera,Toyota,Corolla,2018,14793,0.135633635,2006.43,2023,April,4,Sunday,7,9,,,
3326,James Austin,Amy Oconnor,Ford,Civic,2016,33183,0.086014716,2854.23,2022,May,5,Sunday,7,29,,,
3327,Brenda Williams,Jackie Scott,Nissan,Silverado,2014,44992,0.115908964,5214.98,2022,December,12,Sunday,7,4,,,
3328,Justin Sanford,Tyler Ramirez,Honda,F-150,2015,27789,0.050118642,1392.75,2023,April,4,Wednesday,3,12,,,
3329,Charles Lin,Courtney Clark,Chevrolet,Corolla,2022,10122,0.057514039,582.16,2022,November,11,Thursday,4,17,,,
3330,Jacob Gonzales,Arthur Martinez,Toyota,Altima,2015,20854,0.087270183,1819.93,2022,June,6,Sunday,7,26,,,
